FolderName,FirstDark,FirstDarkName,LastDark,LastDarkName,FirstLab,FirstLabName,LastLab,LastLabName,FirstField,FirstFieldName,LastField,LastFieldName
SP001,6,20210527144723.csv,73,20210527145833.csv,74,20210527145843.csv,150,20210527151123.csv,154,20210527151203.csv,356,20210527154543.csv
SP003,3,20210604150425.csv,72,20210604151555.csv,73,20210604151605.csv,176,20210604153315.csv,180,20210604153355.csv,351,20210604160225.csv
SP004,3,20210610154126.csv,70,20210610155236.csv,71,20210610155246.csv,149,20210610160546.csv,153,20210610160626.csv,346,20210610163836.csv
SP005,2,20210611093238.csv,71,20210611094408.csv,73,20210611094428.csv,151,20210611095728.csv,155,20210611095808.csv,344,20210611102938.csv
SP006,2,20210611113834.csv,71,20210611115004.csv,72,20210611115014.csv,149,20210611120304.csv,153,20210611120344.csv,348,20210611123614.csv
SP008,2,20210611174044.csv,70,20210611175204.csv,71,20210611175214.csv,149,20210611180514.csv,153,20210611180554.csv,346,20210611183804.csv
SP009,2,20210617090409.csv,72,20210617091549.csv,73,20210617091559.csv,151,20210617092859.csv,155,20210617092939.csv,353,20210617100239.csv
SP010,2,20210617113158.csv,70,20210617114318.csv,72,20210617114338.csv,149,20210617115628.csv,153,20210617115708.csv,346,20210617122918.csv
SP011,4,20210617140431.csv,71,20210617141541.csv,73,20210617141601.csv,150,20210617142851.csv,154,20210617142931.csv,350,20210617150211.csv
SP012,2,20210618104411.csv,75,20210618105621.csv,76,20210618105631.csv,153,20210618110921.csv,157,20210618111001.csv,379,20210618114701.csv
SP013,2,20210618130103.csv,75,20210618131313.csv,76,20210618131323.csv,153,20210618132613.csv,158,20210618132703.csv,337,20210618135653.csv
SP014,4,20210618154716.csv,72,20210618155836.csv,74,20210618155856.csv,151,20210618161146.csv,155,20210618161226.csv,349,20210618164446.csv
SP015,4,20210621133750.csv,76,20210621134950.csv,77,20210621135000.csv,155,20210621140300.csv,159,20210621140340.csv,341,20210621143400.csv
SP017,2,20210621164802.csv,74,20210621170002.csv,75,20210621170012.csv,153,20210621171312.csv,157,20210621171352.csv,353,20210621174632.csv
SP018,5,20210622173228.csv,74,20210622174358.csv,75,20210622174408.csv,152,20210622175658.csv,157,20210622175748.csv,358,20210622183118.csv
SP020,5,20210624120626.csv,77,20210624121826.csv,78,20210624121836.csv,156,20210624123136.csv,160,20210624123216.csv,364,20210624130616.csv
SP021,3,20210624142933.csv,71,20210624144053.csv,72,20210624144103.csv,149,20210624145353.csv,153,20210624145433.csv,343,20210624152613.csv
SP022,8,20210625102952.csv,83,20210625104222.csv,84,20210625104232.csv,162,20210625105532.csv,166,20210625105612.csv,370,20210625113012.csv
SP024,4,20210625154848.csv,76,20210625160048.csv,77,20210625160058.csv,153,20210625161338.csv,158,20210625161428.csv,372,20210625165008.csv
SP025,6,20210629160654.csv,77,20210629161844.csv,78,20210629161854.csv,155,20210629163144.csv,159,20210629163224.csv,335,20210629170144.csv
SP026,6,20210630163235.csv,70,20210630164315.csv,72,20210630164335.csv,149,20210630165625.csv,153,20210630165705.csv,332,20210630172655.csv
SP027,4,20210630183708.csv,72,20210630184828.csv,74,20210630184848.csv,151,20210630190138.csv,155,20210630190218.csv,352,20210630193508.csv
